Name,Barcode,Reference,Salesprice,Stock
"Socket insert hexagon 5/16"" l=40mm 31400-5/16-40",4005820280751,140177A,10.583,0
"Socket insert hexagon magnetic 5,5mm l= 40mm 31406-05,5-40",4005820131046,140153A,12.552,0
"Socket insert hexagon magnetic 6mm l=40mm 31406-06,0-40",4005820131053,140154A,13.122,0
"Socket insert hexagon magnetic 7mm l=40mm 31406-07,0-40",4005820131060,140155A,13.122,0
"Socket insert hexagon magnetic 8mm l=40mm 31406-08,0-40",4005820131077,140156A,13.688,0
"Socket insert hexagon magnetic 9mm l=40mm 31406-09,0-40",4005820130285,140157A,14.651,0
"Socket insert hexagon magnetic 1/4"" l=40mm 31406-1/4-40",4005820280775,140162A,13.251,0
"Socket insert hexagon magnetic 10mm l=40mm 31406-10,0-40",4005820130292,140158A,15.656,0
"Socket insert hexagon magnetic 11mm l=40mm 31406-11,0-40",4005820134528,140159A,18.149,0
"Socket insert hexagon magnetic 12mm l=40mm 31406-12,0-40",4005820134535,140160A,19.503,0
"Socket insert hexagon magnetic 13mm l=40mm 31406-13,0-40",4005820134542,140161A,23.179,0
"Socket insert hexagon magnetic 3/8"" l=40mm 31406-3/8-40",4005820280799,140163A,15.656,5
"Socket insert hexagon magnetic 5/16"" l=40mm 31406-5/16-40",4005820280782,140164A,14.782,0
"Socket insert hexagon 5mm l=50mm 31416-5,0-50",4005820130377,140387A,10.444,0
"Socket insert hexagon 5,5mm l=50mm 31416-5,5-50",4005820130384,140388A,10.444,0
"Socket insert hexagon 6mm l=50mm 31416-6,0-50",4005820130391,140389A,10.444,0
"Socket insert hexagon 7mm l=50mm 31416-7,0-50",4005820130407,140390A,10.706,0
"Socket insert hexagon 7mm l=65mm 31416-7,0-65",4005820130322,140401A,16.7,0
"Socket insert hexagon 8mm l=50mm 31416-8,0-50",4005820130414,140391A,11.413,0
"Socket insert hexagon 8mm l=65mm 31416-8,0-65",4005820130339,140402A,17.409,0
"Socket insert hexagon 9mm l=50mm 31416-9,0-50",4005820130421,140392A,13.122,0
"Socket insert hexagon 1/4"" l=50mm 31416-1/4-50",4005820280812,140398A,10.574,0
"Socket insert hexagon 1/4"" l=65mm 31416-1/4-65",4005820280829,140404A,16.021,0
"Socket insert hexagon 10mm l=50mm 31416-10,0-50",4005820130438,140393A,13.926,0
"Socket insert hexagon 10mm l=65mm 31416-10,0-65",4005820130346,140403A,19.472,0
"Socket insert hexagon 11mm l=50mm 31416-11,0-50",4005820130445,140394A,17.275,0
"Socket insert hexagon 11mm l=65mm 31416-11,0-65",4005820280836,141420B,18.982,0
"Socket insert hexagon 12mm l=50mm 31416-12,0-50",4005820130452,140395A,18.982,0
"Socket insert hexagon 12mm l=65mm 31416-12,0-65",4005820280843,141422B,20.947,0
"Socket insert hexagon 13mm l=50mm 31416-13,0-50",4005820130469,140396A,20.887,0
"Socket insert hexagon 13mm l=65mm 31416-13,0-65",4005820280850,141424B,22.534,0
"Socket insert hexagon 14mm l=50mm 31416-14,0-50",4005820130476,140397A,22.348,0
"Socket insert hexagon 3/8"" l=50mm 31416-3/8-50",4005820280874,140399A,13.926,0
"Socket insert hexagon 3/8"" l=65mm 31416-3/8-65",4005820280881,140405A,19.472,0
"Socket insert hexagon 5/16"" l=50mm 31416-5/16-50",4005820280904,140400A,12.248,0
"Socket insert hexagon 5/16"" l=65mm 31416-5/16-65",4005820280911,140406A,17.535,0
"Socket insert hexagon magnetic 5,5mm l=50mm 31418-5,5-50",4005820130278,140369A,14.606,0
"Socket insert hexagon magnetic 6mm l=50mm 31418-06,0-50",4005820130490,140370A,14.606,0
"Socket insert hexagon magnetic 7mm l=50mm 31418-7,0-50",4005820130506,140371A,14.892,0
"Socket insert hexagon magnetic 7mm l=65mm 31418-7,0-65",4005820130711,140381A,16.7,0
"Socket insert hexagon magnetic 8mm l=50mm 31418-8,0-50",4005820130513,140372A,15.312,0
"Socket insert hexagon magnetic 8mm l=65mm 31418-8,0-65",4005820130728,140382A,17.409,0
"Socket insert hexagon magnetic 9mm l=50mm 31418-9,0-50",4005820130520,140373A,17.248,0
"Socket insert hexagon magnetic 1/4"" l=50mm 31418-1/4-50",4005820280973,140378A,14.761,0
"Socket insert hexagon magnetic 1/4"" l=65mm 31418-1/4-65",4005820280980,140384A,16.021,0
"Socket insert hexagon magnetic 10mm l=50mm 31418-10,0-50",4005820130537,140374A,17.535,0
"Socket insert hexagon magnetic 10mm l=65mm 31418-10,0-65",4005820130735,140383A,19.472,0
"Socket insert hexagon magnetic 11mm l=50mm 31418-11,0-50",4005820132029,140375A,21.567,0
"Socket insert hexagon magnetic 12mm l=50mm 31418-12,0-50",4005820132036,140376A,23.441,0
"Socket insert hexagon magnetic 13mm l=50mm 31418-13,0-50",4005820132043,140377A,25.102,0
"Socket insert hexagon magnetic 3/8"" l=50mm 31418-3/8-50",4005820280997,140379A,17.535,0
"Socket insert hexagon magnetic 3/8"" l=65mm 31418-3/8-65",4005820281017,140385A,19.472,0
"Socket insert hexagon magnetic 5/16"" l=50mm 31418-5/16-50",4005820281031,140380A,16.15,0
"Socket insert hexagon magnetic 5/16"" l=65mm 31418-5/16-65",4005820281048,140386A,17.535,0
Bit holder M4 l=60mm 31468-04-60,4005820281055,141427B,12.595,0
Bit holder M5 l=60mm 31468-05-60,4005820281062,141429B,12.595,0
Bit holder M6 l=60mm 31468-06-60,4005820134061,141431B,12.595,0
Bit holder M8 l=60mm 31468-08-60,4005820134078,141433B,14.958,0
Bit holder M10 l=60mm 31468-10-60,4005820134085,141435B,18.017,0
Adapter M4 l=90mm 31540-04-90-M4,4005820281093,141437B,17.581,0
Adapter M5 l=116mm 31540-05-116-M5,4005820281123,141439B,20.467,0
Adapter M5 l=128mm 31540-05-128-M5,4005820281147,141441B,21.998,0
Adapter M5 l=150mm 31540-05-150-M5,4005820281154,141443B,24.14,0
"Adapter M5 l=90mm 31540-05-90-6,0",4005820281161,141445B,17.409,0
Adapter M6 l=90mm 31540-06-90-M6,4005820281178,141447B,21.998,0
"Socket insert hexagon magnetic 12 mm l=50mm 2148-12,0-50",4005820277126,141449B,13.769,0
"Socket insert hexagon M5 4mm l=33mm 35046-04,0-33-M5",4005820281208,141451B,13.926,0
Adapter M4xM4 l=25mm 3506404-25,4005820281222,141453B,11.125,0
"Socket insert hexagon M6 7mm l=33mm 35076-07,0-33-M6",4005820281253,141455B,14.606,0
Adapter M4xM5 l=25mm 3508405-25,4005820281260,141457B,11.962,0
Adapter M5xM5 l=25mm 3508505-25,4005820281277,141459B,11.125,0
"Socket insert hexagon M8 8mm l=37mm 35086-08,0-37-M8",4005820281284,141461B,15.312,0
Adapter M5xM6 l=25mm 3510506-25,4005820281291,141463B,13.089,0
Adapter M6xM6 l=25mm 3510606-25,4005820281321,141465B,13.089,0
"Socket insert hexagon M8 10mm l=37mm 35106-10,0-37-M8",4005820281307,141467B,18.09,0
"Socket insert hexagon M10 13mm l=37mm 35136-13,0-37-M10",4005820281338,141469B,25.052,0
"Socket insert hexagon M6 1/4"" l=33mm 35146-1/4-33-M6",4005820281345,141471B,13.926,0
"Socket insert hexagon 7mm l=53mm 3516286-07,0-53",4005820281352,141473B,11.83,0
"Socket insert hexagon 8mm l=53mm 3516286-08,0-53",4005820281369,141475B,12.537,0
"Socket insert hexagon 10mm l=53mm 3516286-10,0-53",4005820281376,141477B,15.312,0
"Socket insert hexagon 3/8"" l=53mm 3516286-3/8-53",4005820281383,141479B,15.312,0
"Socket insert hexagon magnetic 7mm l=53mm 3516288-07,0-53",4005820281390,141481B,16.7,0
"Socket insert hexagon magnetic 8mm l=53mm 3516288-08,0-53",4005820281406,141483B,17.409,0
"Socket insert hexagon magnetic 10mm l=53mm 3516288-10,0-53",4005820281413,141485B,20.18,0
"Socket insert hexagon magnetic 3/8"" l=53mm 3516288-3/8-53",4005820281420,141487B,20.18,0
"Socket insert hexagon 7mm l=50mm 35166-07,0-50",4005820281437,141489B,11.83,0
"Socket insert hexagon 8mm l=50mm 35166-08,0-50",4005820132838,141491B,12.537,0
"Socket insert hexagon 10mm l=50mm 35166-10,0-50",4005820134511,141493B,15.312,0
"Socket insert hexagon 3/8"" l=50mm 35166-3/8-50",4005820281451,141495B,15.312,0
"Socket insert hexagon magnetic 7mm l=50mm 35168-07,0-50",4005820132845,141497B,16.7,0
"Socket insert hexagon magnetic 8mm l=50mm 35168-08,0-50",4005820281468,141499B,17.409,0
"Socket insert hexagon magnetic 10mm l=50mm 35168-10,0-50",4005820281475,141501B,20.18,0
"Socket insert hexagon magnetic 3/8"" l=50mm 35168-3/8-50",4005820281499,140443A,20.18,0
"Socket insert hexagon 5mm l=50mm 37016-5,0-50",4005820130568,140435A,11.962,0
"Socket insert hexagon 5,5mm l=50mm 37016-5,5-50",4005820130575,140436A,11.962,0
"Socket insert hexagon 6mm l=50mm 37016-6,0-50",4005820130582,140437A,11.962,0
"Socket insert hexagon 7mm l=50mm 37016-7,0-50",4005820130599,140438A,12.537,0
"Socket insert hexagon 8mm l=50mm 37016-8,0-50",4005820130605,140439A,13.089,0
"Socket insert hexagon 9mm l=50mm 37016-9,0-50",4005820130612,140440A,13.636,0
"Socket insert hexagon 1/4"" l=50mm 37016-1/4-50",4005820281512,140442A,12.248,0
"Socket insert hexagon 10mm l=50mm 37016-10,0-50",4005820130629,140441A,14.606,0
"Socket insert hexagon 11mm l=50mm 37016-11,0-50",4005820281529,141503B,17.825,0
"Socket insert hexagon 12mm l=50mm 37016-12,0-50",4005820281536,141505B,20.313,0
"Socket insert hexagon 13mm l=50mm 37016-13,0-50",4005820281543,141507B,22.274,0
"Socket insert hexagon 3/8"" l=50mm 37016-3/8-50",4005820281550,141509B,14.606,0
"Socket insert hexagon 5/16"" l=50mm 37016-5/16-50",4005820281567,140444A,13.926,0
"Socket insert hexagon magnetic 5,5mm l=50mm 37018-05,5-50",4005820131985,141511B,15.312,0
"Socket insert hexagon magnetic 6mm l=50mm 37018-06,0-50",4005820130650,140427A,15.312,0
"Socket insert hexagon magnetic 7mm l=50mm 37018-07,0-50",4005820130667,140428A,16.021,0
"Socket insert hexagon magnetic 8mm l=50mm 37018-08,0-50",4005820130674,140429A,16.7,0
"Socket insert hexagon magnetic 9mm l=50mm 37018-09,0-50",4005820130681,140430A,17.825,0
"Socket insert hexagon magnetic 1/4"" l=50mm 37018-1/4-50",4005820281581,140432A,16.413,0
"Socket insert hexagon magnetic 10mm l=50mm 37018-10,0-50",4005820130698,140431A,18.794,0
"Socket insert hexagon magnetic 11mm l=50mm 37018-11,0-50",4005820281598,141513B,21.724,0
"Socket insert hexagon magnetic 12mm l=50mm 37018-12,0-50",4005820281604,141515B,24.5,0
"Socket insert hexagon magnetic 13mm l=50mm 37018-13,0-50",4005820281611,141517B,26.434,0
"Socket insert hexagon magnetic 3/8"" l=50mm 37018-3/8-50",4005820281628,140433A,18.794,0
"Socket insert hexagon magnetic 5/16"" l=50mm 37018-5/16-50",4005820281635,140434A,18.09,0
Magnetic bitholder       10001,,140363B,40.361,11
Magnetic holder 9.6-74mm 10052,,140361B,11.329,0
"Bits 5/16"" PZ4    12563",,140211B,3.721,10
Magnetic hold. 9.6-200mm 10115,,142014B,15.285,0
Magnetic hold. 9.6-250mm 10120,,142015B,18.409,0
Magnetic holders 11.1mm  10252,5412605760060,140360B,13.691,0
Magnetic holder SDS      10287,5412605760015,142016B,16.347,0
Magnetic holder SDS      10288,,140572B,18.378,0
Bits T10 50 mm          103054,,140330B,4.221,20
Bits T15 50 mm          103055,5412605760077,140331B,4.419,0
Bits T20 50mm           103056,5412605760084,140332B,4.221,0
Bits T25 50 mm          103057,5412605760091,140333B,4.221,0
Bits T30 50 mm          103059,,140335B,4.054,0
Bits T10 50mm Tamper    103254,5412605760107,142018B,5.517,0
Bits T15 50mm Tamper    103255,5412605760114,142019B,5.517,55
Bits T20 50 mm Tamper   103256,5412605760121,142020B,5.517,0
Bits T25 50 mm Tamper   103257,5412605760138,142021B,5.517,0
Quick-lock system 51mm   10350,,142022B,17.213,0
Quick-lock system 74mm   10352,5412605760145,140457B,24.955,0
Quick-lock system 59mm   10354,5412605760022,142023B,19.474,0
Quick-lock system 98mm   10387,5412605760152,142024B,26.983,0
Quick-lock systeem 80mm  10388,,142025B,24.325,5
Bitholder non-magnetic   11001,,142026B,12.095,0
Bitholder non-magnetic   11002,,142027B,11.762,0
Bits plat 3mm           112000,5412605760190,142028B,1.198,0
Bits plat 4.0mm x 0.5   112001,,142029B,0.932,0
Bits plat 4.0mm         112004,5412605760206,142030B,0.932,0
Bits plat 5.5mm         112005,,140016B,1.095,0
Bits flat 5.5mm x 1.0   112006,,142031B,0.932,80
Bits plat 8mm           112008,,142032B,2.127,0
Bits flat 39mm 1.2x8.0  112018,,140008B,2.725,0
Bit PH1xPH2 150mm teled.112210,,142033B,4.519,0
Bit PH2xPH3 150mm teled.112215,,142034B,4.519,0
Bit PZ1xPZ2 150mm teled.112220,,142036B,4.519,0
Bit PZ2xPZ3 150mm teled.112225,,142037B,4.519,0
"Bit pl6,5x5,5 150 teled.112230",,142038B,4.519,0
Bit T10xT15 150mm teled.112240,,142039B,4.519,0
Bit T20xT25 150mm teled.112244,,142040B,4.519,0
Bit T30xT40 150mm teled.112248,,142041B,4.519,0
"Adaptor SDS-plus1/4""-1/2""11225",,142042B,17.213,10
Shank magn./teledrive   114019,,142043B,8.707,0
Magneethouder 58 mm     115007,,142044B,4.319,0
M 8                      11850,,142045B,14.222,0
M 10                     11855,,142046B,15.152,0
Bit Ph2xM5 l=33 sw6.0   119051,,142047B,6.647,0
Bits plat 3 mm           12000,,140012B,1.23,0
Bits plat 4mm            12001,,140013B,1.129,150
Bits plat 5mm            12002,,140015B,1.095,0
Bits plat 6mm            12003,,140017B,1.129,10
Bits plat 7mm            12004,,140018B,1.129,0
Bits plat 8 mm           12005,,142048B,1.264,70
Bits plat 9mm            12006,,140020B,2.512,181
Bits rob 2               12028,,140114B,1.675,0
Bits PH1 milled          12037,,142049B,0.932,0
Bits PH2 milled          12038,,142050B,0.932,0
Bits PH3 50mm            12050,5412605760312,140054B,2.228,10
Bits PZ3 milled          12059,,142052B,0.932,0
Bits PZ3 50mm            12066,5412605760343,140089B,2.228,0
Bits 2mm                 12069,,140097B,1.934,10
Bits 4mm                 12072,,140100B,1.675,0
Bits 7mm                 12075,,142053B,2.062,0
Bits 10mm                12077,,142054B,3.524,0
Bits TX5                 12088,,142055B,1.595,70
Bits TX6                 12089,,140116B,1.934,0
Bits TX7                 12090,,140117B,1.934,100
Bits TX9                 12092,,140119B,1.809,0
Bits PH3/TS              12244,,142056B,0.73,0
Bits PZ1 / TS            12260,,142057B,0.73,145
Bits PZ2 / TS            12261,,142058B,0.73,0
Bits PZ3 / TS            12262,,142059B,0.73,0
Bits TX10                12293,5412605760237,142060B,2.525,0
Bits TX15                12294,5412605760244,142061B,2.525,0
Bits TX20                12295,5412605760251,142062B,2.525,0
Bits TX25                12296,5412605760268,142063B,2.525,0
Bits TX27                12297,5412605760275,142064B,2.525,20
Bits TX30                12298,5412605760282,142065B,2.525,20
Bits TX40                12299,5412605760299,142066B,2.525,0
Bits PH4 32mm            12545,,140201B,1.675,20
Bits Nr.2 50mm Robertson 13018,,140339B,3.063,0
Bits Nr.3 50mm Robertson 13019,,140340B,3.063,0
Bits PH1 50mm DIN 5260   13021,,140289B,2.525,0
Bits PH2 50mm DIN 5260   13022,,140291B,2.525,0
Bits PH3 50mm DIN 5260   13023,,140293B,2.626,10
Bits PH4 50mm            13024,,142067B,6.05,20
"Adaptor 50mm 1/4""        13050",,140365B,7.509,0
"Adaptor 50mm 3/8""        13052",,142068B,18.011,0
Bits PH2                 13077,,142069B,4.985,0
Bits PH2 70mm           135022,,140292B,4.121,0
Bits PH3 70mm           135023,,140294B,4.086,0
Bits PZ1 70mm           135030,,140532B,2.776,18
Bits PZ2 70mm           135031,,140533B,2.644,0
Bits PZ3 70mm           135032,,140534B,2.644,10
Bits PH3 125mm          138023,,142070B,6.779,0
Bits PZ3 125mm          138032,,142071B,6.779,10
Bits PH1 150mm          139021,,142072B,10.368,0
Schroevendraaier 130mm   14010,,142073B,10.699,1
Flex.schroevendraaier    14012,,142074B,16.416,0
Hand driver 270mm        14015,,140560B,14.989,0
Verlengstuk schroevendr. 180mm,,142075B,10.103,0
Hand driver 230+6 bits   14020,,142076B,22.728,0
Hand driver teledrive    14041,,142077B,26.518,3
Hand driver teledr./bits 14042,,142078B,35.291,1
"Adaptor 25mm 1/4""        15001",,140841B,7.509,0
Magnetic holder 9.6mm    15005,,140359B,6.147,0
Magnetic holders 9.6mm   15007,,142079B,4.787,0
Magneethouder            15009,,142080B,4.386,0
Magn. spacer+bit PH2     15020,,142081B,14.154,0
Bits PH1x32              12541,,142082B,1.595,0
Unibox 7 p/12            16050,5712605760405,142083B,18.378,0
Unibox 7 p./12           16060,,142084B,19.34,0
Teledrive solo box      16080,,142085B,93.709,0
Box 7 Black Line         16333,,142086B,10.435,0
Box 7 Special            16336,,142087B,12.095,8
Box black line Torx      16361,,142088B,19.94,0
Bitsbox isotin           16370,,142089B,19.607,0
Bitsbox 7 delig          16371,,142090B,12.095,15
Unibox 10 p./9           16400,,142091B,17.679,0
Unibox 10 p.             16400,,142092B,21.466,0
Unibox 10 p./9           16401,,142093B,24.99,0
Unibox 10 bits TIN       16401,,142094B,25.92,0
Toolcenter               16410,,142095B,163.493,0
Toolcenter               16411,,142096B,232.413,0
Toolcenter               16412,,142097B,217.125,0
Toolcenter               16430,,142098B,319.208,0
Toolcenter Isotin        16431,,142099B,457.115,0
Toolcenter unibox        16451,,142100B,321.267,0
Toolcenter               16454,,142101B,354.231,0
Assortiment bits         16500,,142102B,173.529,0
"Assortiment 25 bits  1/4"" 25mm",,142103B,434.251,0
Hand driving box 7 p.    16550,,142104B,12.761,14
"Box II spec. uitvoering  16556 115007 +2 PZ1 , PZ2, PZ3",,142105B,0,0
Hand driving box 7p Torx 16560,,142106B,20.67,13
"Magnetic holder 1/4""     16800",,142107B,4.386,0
Profibox 10xpz1-25mm     16820,,142109B,6.181,0
Profibox 10xpz3-25mm     16822,,142111B,6.181,4
Profibox 10xpz2-50mm     16865,,142112B,19.007,0
Profibox 10xph2-50mm     16877,,142113B,19.007,0
Display                  17003,,142114B,665.135,0
Bit Depot                17006,,142115B,6219.627,0
Handle 270mm/SB          17015,,142116B,16.347,17
Teledrive Vario SB       17042,,142117B,37.817,0
Magnetic holder/SB       17050,,142118B,7.043,0
Bitbox 7 p./SB           17052,,142119B,12.029,0
Bitbox TIN               17054,,142120B,19.007,0
Ass.bits 6 p./SB         17070,,142121B,6.379,1
2 bits fl.3mm/SB         17093,,142122B,3.456,39
2 bits fl. 4mm/SB        17094,,142123B,3.19,40
2 bits fl. 5mm/SB        17095,,142124B,3.19,25
2 bits fl. 6mm/SB        17096,,142125B,3.19,20
2 bits fl. 7mm/SB        17097,,142126B,3.19,26
2 bits fl. 8mm/SB        17098,,142127B,3.456,30
2 bits PH1/SB            17101,,142128B,2.525,52
2 bits PH2/SB            17102,,142129B,2.525,20
2 bits PH3/SB            17103,,142130B,2.525,20
2 bits PZ3/SB            17112,4013769171122,142131B,2.525,20
2 bits Ph1 - 50mm        17114,,142132B,3.557,0
2 bits Ph2 - 50mm        17115,,142133B,3.557,0
2 bits Ph3 - 50mm        17116,,142134B,3.557,0
2 bits Pz1 - 50mm        17118,,142135B,3.557,0
2 bits Pz3 - 50mm        17120,,142136B,3.557,0
Bits+screwdr./SB         17156,,142137B,23.459,0
Magneethouder+bit Ph2 SB 17170,5412605760213,142138B,15.687,22
Bits sb T15-T20-T25      17375,,142139B,6.248,0
2 bits TX 10 / SB        17393,,142140B,4.253,0
Bits SB/2xT15            17394,,142141B,4.253,0
Bits SB/2xT20            17395,,142142B,4.253,0
Bits SB/2xT27            17397,,142143B,4.253,0
Bits SB/2xT30            17398,,142144B,4.253,0
Hand driving box 7p./SB  17550,,142145B,13.691,0
Bits 0.8x4.0 TIN     2.112.000,,142146B,2.062,0
Bits 0.8x5.5 TIN     2.112.005,,140024B,2.127,0
Bits 1.2x6.5 TIN     2.112.007,,140026B,2.127,0
Bits PH3 TIN            212044,,140058B,1.928,24
Bits PZ3 TIN            212062,,140094B,1.928,0
Bits 2.0mm TIN          212069,,142147B,2.79,0
Bits 3.0mm TIN          212071,,142148B,2.658,0
Bits 4.0mm TIN          212072,,142149B,2.658,0
Bits 5.0mm TIN          212073,,142150B,2.658,0
Bits 6.0mm TIN          212074,,142151B,2.658,0
Bits 8.0 mm TIN         212076,,142152B,3.323,0
Bits T20                212095,,142153B,2.393,0
Bits T25                212096,,142154B,2.393,0
Bits T30                212098,,142155B,2.393,0
Bits T40                212099,,140145B,2.494,0
Bits PH1/TS TIN         212241,,142156B,1.727,0
Bits PH2/TS TIN         212242,,142157B,1.727,70
Bits PH3/TS TIN         212244,,142158B,1.727,0
Bits PZ2/TS TIN         212261,,142159B,1.727,0
Bits PZ3/TS TIN         212262,,142160B,1.727,0
Bits T10TSI TIN         212893,,142161B,2.127,0
Bits T15TSI TIN         212894,,142162B,2.127,0
Bits T20TSI TIN         212895,,140141B,2.494,0
Bits T25TSI TIN         212896,,140142B,2.494,0
Bits T10K TIN           212993,,142163B,4.188,0
Bits T15K TIN           212994,,142164B,4.188,3
Bits T20K TIN           212995,,142165B,4.188,9
Bits T25K TIN           212996,,142166B,4.188,9
Bits T30K TIN           212998,,140144B,2.494,0
Bits T40K TIN           212999,,142167B,4.188,0
Bits PH3 50mm TIN       213023,,140303B,5.249,10
Bits PZ1 50mm TIN       213030,,140319B,5.249,0
Bits PZ2 50mm TIN       213031,,140320B,5.249,0
Bits PZ3 50mm TIN       213032,,140321B,5.249,0
Profibox 10xpz1-25mm IS. 26820,,142169B,16.15,0
Profibox 10xpz2-50mm IS. 26865,,142171B,54.563,0
Flexibele bitshouder 180 mm = 119 187,,142172B,14.023,0
Boutenanker   01115101 8-10/75,,1115101,0.662,0
Boutenanker    1120101 8-15/80,,1120101,0.677,0
Boutenanker   01125101 8-20/85,,1125101,0.733,0
Boutenanker   01130101 8-25/90,,1130101,0.761,0
Boutenanker   01135101 8-30/95,,1135101,0,0
Boutenanker  01145101 8-45/110,,1145101,0.86,0
Boutenanker 01150101 B8-55/120,,1150101,0.891,0
Boutenanker  01205101 10-10/60,,1205101,0.755,0
Boutenanker 01210101 10-10/80,,1210101,0.958,0
Boutenanker inox      10-10/80,,1210501,3.569,0
Boutenanker  01215101 10-15/85,,1215101,0.987,0
Boutenanker  01215201 10-15/85,,1215201,3.637,0
Boutenanker 01220101 10-20/90,,1220101,1.037,0
Boutenanker 01225101 10-30/100,,1225101,1.115,0
Boutenanker 01230101 10-45/115,,1230101,1.173,0
Boutenanker 01235101 10-50/120,,1235101,1.223,0
Boutenanker 01240101 10-70/140,,1240101,1.419,0
Boutenank 01245101 10-100/170,,1245101,1.507,0
Boutenank. 01250101 10-140/210,,1250101,2.013,0
Boutenanker   01305101 12-5/75,,1305101,1.444,0
Boutenanker  01310101 12-10/95,,1310101,1.507,0
Boutenanker 01315101 12-15/110,,1315101,1.58,0
Boutenanker 01320101 12-20/110,,1320101,1.63,0
Boutenanker 01325101 12-30/120,,1325101,1.674,0
Boutenanker 01330101 12-50/145,,1330101,1.747,0
Boutenanker 01335101 12-65/155,,1335101,1.983,0
Boutenanker 01340101 12-85/175,,1340101,2.426,0
Boutenank. 01345101 12-105/195,,1345101,2.782,0
Boutenank. 01350101 12-125/215,,1350101,2.854,0
Boutenank. 01355101 12-145/235,,1355101,2.926,0
Boutenank. 01365101 12-160/250,,1365101,3.088,0
Boutenanker   01505101 16-5/90,,1505101,2.549,0
Boutenanker 01510101 16-15/115,,1510101,2.689,0
Boutenanker 01515101 16-30/145,,1515101,3.005,0
Boutenanker 01520101 16-60/175,,1520101,0,0
Boutenanker 01525101 16-80/195,,1525101,4.134,0
Anchor              05005101 E6,,5005101,0.221,0
Anker inox M6         05005501,,5005501,1.519,0
Anker              05100101 E8,,5100101,0.268,0
Anker             05200101 E10,,5200101,0.372,0
Anker inox        05200501 E10,,5200501,2.908,0
Anker             05300101 E12,,5300101,0.579,0
Anker inox        05300501 E12,,5300501,4.301,0
Anker             05500110 E16,,5500110,1.344,0
Onderdeel       09100150 ES-M8,5412605447695,9100150,0,0
Onderdeel      09200150 ES-M10,,9200150,16.361,0
Onderdeel      09300150 ES-M12,,9300150,19.036,0
Onderdeel      09500150 ES-M16,,9500150,28.167,0
Anker        10005101  SL 10/0,,10005101,0,0
Anker           10110101 12/10,,10110101,2.255,0
Anker           10120101 12/25,,10120101,2.468,0
Anker           10130101 12/70,,10130010,3.091,0
Anker           10210101 14/10,,10210101,3.166,0
Anker           10220101 14/25,,10220101,3.359,0
Anker           10315101 18/25,,10315101,5.306,0
Anker           10320101 18/40,,10320101,5.389,0
Anker           10510101 24/25,,10510101,9.164,0
Zwaarbevestigingsanker SLB18/0,,12305101,5.4,0
Zwaarbevestigingsanker SL18/40,,12320101,5.4,0
Zwaarbevestigingsanker SL18/70,,12325101,6.159,0
Anker          10x130 21203101,,21203101,1.041,0
Anker          12x160 21306101,,21306101,1.414,0
Anker          16x190 21510101,,21510101,2.654,0
Anker          20x220 21613101,,21613101,4.557,0
Anker             21617101 M20,,21617101,4.704,0
Anker          24x260 21717101,,21717101,7.738,0
Anker             21721101 M24,,21721101,8.421,0
Mortelpatroon      25100801 M8,,25100801,1.446,0
Mortelpatroon     25101001 M10,,25101001,1.607,0
Mortelpatroon     25101201 M12,,25101201,1.736,0
Mortelpatroon     25101601 M16,,25101601,1.964,0
Mortelpatroon     25102001 M20,,25102001,3.412,0
Mortelpatroon     25102401 M24,,25102401,4.342,0
"Mortelpatr 25150801 VA-P 8x1,5",,25150801,2.5,0
Mortelpatroon 25151001 M10x1.5,,25151001,2.838,0
Zeefomhulling 28152001 16 x 85,,28152001,0,0
Zeefomhulling 28151001 12 x 50,,28151001,0.418,0
Gipskartonanker 37305001 GK039,,37305001,0.192,0
Nagelplug 70105101     ND 5/30,,70105101,0,0
Nagelplug 70210181      ND6/40,,70210181,0,0
Nagelplug      70220101 ND6/50,,70220101,0.135,0
Nagelplug 70230101     ND 6/60,,70230101,0.137,0
Nagelplug     70240101 ND 6/70,,70240101,0.186,0
Nagelplug     70245101 ND 6/75,,70245101,0.167,0
Nagelplug 70305101     ND 8/60,,70305101,0.167,0
Nagelplug 70315101     ND 8/80,,70315101,0.192,0
Nagelplug 70325101    ND 8/100,,70325101,0.249,0
Nagelplug 70335101    ND 8/120,,70335101,0.316,0
Nagelplug 70345101    ND 8/140,,70345101,0.377,0
Gipskarton     71010181 UD5/30,,71010181,0.039,0
Gipskarton     71110181 UD6/36,,71110181,0.057,0
Gipskarton     71210181 UD8/51,,71210181,0.08,0
Plafondnagel          72250101,,72250101,0.568,0
Reciprocating saw-blade Wilpu 006/150bi - per 5,4019379185151,100113A,35.569,0
Reciprocating saw-blade Wilpu 006/200bi - per 5,4019319185205,100114A,43.815,0
Reciprocating saw-blade Wilpu 007D/200bi - per 5,4019379187201,100118A,73.435,0
Reciprocating saw-blade Wilpu 1014C/150bi - per 5,4019379135158,100099A,21.865,0
Reciprocating saw-blade Wilpu 1014C/200bi - per 5,4019379135202,100100A,26.065,0
Reciprocating saw-blade Wilpu 1014C/225bi - per 5,4019379135226,100101A,28.403,0
Reciprocating saw-blade Wilpu 1014C/280bi - per 5,,100228B,40.721,0
Reciprocating saw-blade Wilpu 1014CS/150 - per 5,4019379157150,100124B,21.865,0
Reciprocating saw-blade Wilpu 1014CS/200 - per 5,,100125B,26.065,0
Mitre saw Wilpu 106 steel (550x45),4019379380558,100126B,19.191,0
